IoC,Base Severity,Base Score,Final Score,,,,IoC,Base Severity,Base Score,Final Score,,IoC,Base Severity,Base Score,Final Score
CVE-2007-2493,HIGH,10,11.73105774,,,,,,,,,,,,
CVE-2007-2494,HIGH,10,11.73105774,,,,,,,,,,,,
CVE-2007-2598,HIGH,10,11.73105774,,,,,,,,,,,,
CVE-2007-2711,HIGH,10,11.73105774,,,,,,,,,,,,
CVE-2007-2715,HIGH,10,11.73105774,,,,,,,,,,,,
CVE-2007-2736,HIGH,10,11.73105774,,,,,,,,,,,,
CVE-2007-2755,HIGH,10,11.73105774,,,,,,,,,,,,
CVE-2007-2775,HIGH,10,11.73105774,,,,,,,,,,,,
CVE-2007-2776,HIGH,10,11.73105774,,,,,,,,,,,,
CVE-2007-2824,HIGH,10,11.73105774,,,,,,,,,,,,
CVE-2007-2853,HIGH,10,11.73105774,,,,,,,,,,,,
CVE-2007-2946,HIGH,10,11.73105774,,,,,,,,,,,,
CVE-2007-2985,HIGH,10,11.73105774,,,,,,,,,,,,
CVE-2007-3270,HIGH,10,11.73105774,,,,,,,,,,,,
CVE-2007-3488,HIGH,10,11.73344146,,,,,,,,,,,,
CVE-2007-3515,HIGH,10,11.73344146,,,,,,,,,,,,
CVE-2007-3980,HIGH,10,11.73344146,,,,,,,,,,,,
CVE-2007-4584,HIGH,10,11.73344146,,,,,,,,,,,,
CVE-2007-4646,HIGH,10,11.73344146,,,,,,,,,,,,
CVE-2007-4982,HIGH,10,11.73344146,,,,,,,,,,,,
CVE-2007-4983,HIGH,10,11.73344146,,,,,,,,,,,,
CVE-2007-5019,HIGH,10,11.73344146,,,,,,,,,,,,
CVE-2007-5070,HIGH,10,11.73344146,,,,,,,,,,,,
CVE-2007-5257,HIGH,10,11.73344146,,,,,,,,,,,,
CVE-2007-5452,HIGH,10,11.73344146,,,,,,,,,,,,
CVE-2007-5466,HIGH,10,11.73344146,,,,,,,,,,,,
CVE-2007-5467,HIGH,10,11.73344146,,,,,,,,,,,,
CVE-2007-5941,HIGH,10,11.73344146,,,,,,,,,,,,
CVE-2007-6176,HIGH,10,11.73344146,,,,,,,,,,,,
CVE-2007-6234,HIGH,10,11.73344146,,,,,,,,,,,,
CVE-2007-6638,HIGH,10,11.73344146,,,,,,,,,,,,
CVE-2007-6238,HIGH,10,11.74380891,,,,,,,,,,,,
CVE-2007-6281,HIGH,10,11.74380891,,,,,,,,,,,,
CVE-2007-6431,HIGH,10,11.74380891,,,,,,,,,,,,
CVE-2007-6456,HIGH,10,11.74380891,,,,,,,,,,,,
CVE-2007-6521,HIGH,10,11.74380891,,,,,,,,,,,,
CVE-2007-6525,HIGH,10,11.74380891,,,,,,,,,,,,
CVE-2007-6563,HIGH,10,11.74380891,,,,,,,,,,,,
CVE-2007-6688,HIGH,10,11.74380891,,,,,,,,,,,,
CVE-2007-6701,HIGH,10,11.74380891,,,,,,,,,,,,
CVE-2007-6703,HIGH,10,11.74380891,,,,,,,,,,,,
CVE-2007-6711,HIGH,10,11.74380891,,,,,,,,,,,,
CVE-2007-0072,HIGH,10,11.74580977,,,,,,,,,,,,
CVE-2007-0073,HIGH,10,11.74580977,,,,,,,,,,,,
CVE-2007-0074,HIGH,10,11.74580977,,,,,,,,,,,,
CVE-2007-0201,HIGH,10,11.74580977,,,,,,,,,,,,
CVE-2007-0462,HIGH,10,11.74580977,,,,,,,,,,,,
CVE-2007-0510,HIGH,10,11.74580977,,,,,,,,,,,,
CVE-2007-0640,HIGH,10,11.74580977,,,,,,,,,,,,
CVE-2007-0655,HIGH,10,11.74580977,,,,,,,,,,,,
CVE-2007-0748,HIGH,10,11.74580977,,,,,,,,,,,,
CVE-2007-0749,HIGH,10,11.74580977,,,,,,,,,,,,
CVE-2007-0903,HIGH,10,11.74580977,,,,,,,,,,,,
